k b f g
1 20 20 1
2 30 35 1.1
3 40 50 1.2
4 70 120 1.7
5 120 225 2.5
6 200 400 3.2

n x y q
0 44 82 0 
1 75 87 5 
2 6 42 5 
3 28 52 5 
4 33 86 19 
5 78 42 15 
6 18 21 6 
7 30 60 18 
8 76 51 12 
9 74 4 14 
10 20 50 1 
11 17 21 18 
12 48 27 1 
13 100 48 10 
14 8 51 14 
15 71 70 1 
16 19 64 7 
17 74 50 31 
18 51 53 10 
19 62 77 11 
20 37 82 20 
21 98 26 10 
22 68 3 11 
23 40 11 9 
24 18 84 2 
25 86 19 4 
26 77 9 10 
27 84 42 23 
28 6 95 9 
29 35 83 13 
30 86 94 12 
31 48 36 20 
32 20 87 14 
33 45 31 4 
34 83 97 6 
35 14 23 21 
36 3 51 16 
37 13 64 26 
38 20 69 18 
39 27 87 26 
40 21 20 22 
41 79 54 24 
42 43 53 1 
43 64 39 15 
44 32 72 29 
45 35 21 21 
46 58 73 14 
47 26 6 17 
48 36 33 7 
49 86 3 26 
50 48 47 2 
51 66 74 10 
52 3 84 24 
53 41 65 15 
54 12 4 30 
55 27 21 22 
56 66 50 13 
57 51 85 20 
58 66 17 25 
59 65 8 63 
60 52 59 17 
61 82 30 25 
62 85 95 25 
63 19 67 31 
64 12 36 19 
65 25 44 13 
66 85 46 16 
67 19 29 20 
68 51 2 14 
69 91 1 25 
70 83 78 15 
71 52 36 41 
72 96 49 18 
73 30 16 31 
74 8 76 19 
75 43 65 12 
76 2 53 30 
77 88 4 6 
78 13 9 23 
79 15 11 16 
80 68 59 12 
81 76 50 12 
82 79 85 6 
83 40 46 5 
84 71 78 10 
85 33 21 17 
86 77 90 33 
87 65 80 10 
88 93 79 34 
89 62 19 1 
90 60 76 16 
91 14 82 17 
92 52 4 19 
93 75 36 1 
94 76 85 13 
95 89 43 24 
96 78 68 18 
97 47 49 9 
98 97 25 24 
99 57 23 26 
100 63 50 6 
101 10 95 26 
102 36 92 21 
103 56 35 22 
104 25 8 31 
105 73 28 11 
106 89 1 8 
107 73 2 2 
108 41 56 34 
109 33 0 20 
110 41 79 45 
111 61 45 17 
112 79 21 10 
113 97 5 15 
114 27 25 20 
115 91 67 19 
116 55 20 17 
117 6 84 24 
118 30 10 12 
119 80 12 33 
120 4 41 9 
121 84 46 1 
122 66 90 7 
123 33 51 10 
124 100 72 25 
125 61 95 15 
126 75 32 12 
127 93 53 16 
128 59 60 30 
129 32 73 10 
130 59 73 22 
131 87 13 4 
132 5 22 17 
133 86 66 32 
134 60 93 4 
135 35 77 7 
136 82 72 21 
137 16 66 21 
138 1 15 17 
139 0 76 21 
140 37 53 18 
141 28 93 24 
142 7 87 11 
143 49 20 28 
144 14 64 19 
145 93 98 5 
146 79 12 17 
147 87 12 19 
148 68 20 6 
149 5 45 23 
150 69 55 25 
151 9 7 11 
152 17 100 3 
153 55 86 36 
154 95 72 37 
155 66 72 4 
156 96 29 42 
157 100 74 7 
158 42 73 31 
159 74 59 6 
160 63 23 19 
161 86 54 13 
162 53 64 16 
163 87 80 39 
164 94 0 8 
165 89 97 10 
166 62 29 25 
167 89 65 27 
168 87 0 37 
169 24 6 6 
170 54 61 10 
171 76 21 22 
172 38 43 10 
173 74 41 33 
174 58 36 8 
175 52 30 24 
176 49 26 30 
177 7 78 26 
178 89 40 2 
179 77 33 15 
